Symbol,Industry,Company Name,"lakhs mcap December 31 2021
",Price,mcap,change
RELIANCE,REFINERIES/MARKETING,Reliance Industries Limited,160138207,2482.1,16791360000742,-1.57
TCS,COMPUTERS - SOFTWARE,Tata Consultancy Services Limited,138283487,3833.15,14183399916000,-2.08
HDFCBANK,PRIVATE SECTOR BANK,HDFC Bank Limited,81983196,1512,8380538208000,-0.42
INFY,COMPUTERS - SOFTWARE,Infosys Limited,80445056,1825.2,7647945360000,-2.24
HINDUNILVR,DIVERSIFIED,Hindustan Unilever Limited,55453878,2265.05,5321941209276,-1.94
ICICIBANK,PRIVATE SECTOR BANK,ICICI Bank Limited,51389612,811.6,5633195230500,0.37
HDFC,HOUSING FINANCE,Housing Development Finance Corporation Limited,46770159,2571,4656109281000,-1.88
BAJFINANCE,NBFC,Bajaj Finance Limited,42114588,7534,4540905353500,-0.5
SBIN,PUBLIC SECTOR BANK,State Bank of India,41093374,511,4560476221000,-0.93
WIPRO,COMPUTERS - SOFTWARE,Wipro Limited,39210359,616,3366847449612,-0.83
BHARTIARTL,TELECOM - SERVICES,Bharti Airtel Limited,37554482,719,4649773100000,2.17
HCLTECH,COMPUTERS - SOFTWARE,HCL Technologies Limited,35795956,1175,3188556375000,-2.02
KOTAKBANK,PRIVATE SECTOR BANK,Kotak Mahindra Bank Limited,35627228,1893.9,3761694530891,-0.62
ASIANPAINT,PAINTS,Asian Paints Limited,32449182,3303,3167493434100,0.69
DMART,DIVERSIFIED RETAIL,Avenue Supermarts Limited,30260471,4466.05,2893038286309,-0.39
ITC,CIGARETTES & RELATED PRODUCTS,ITC Limited,26869513,219.1,2701146845000,-0.57
LT,ENGINEERING-DESIGNING-CONSTRUCTION,Larsen & Toubro Limited,26634348,2002.4,2821894608000,-0.92
BAJAJFINSV,GENERAL INSURANCE,Bajaj Finserv Limited,26108407,17250,2741494200000,-4.58
MARUTI,PASSENGER/UTILITY VEHICLES,Maruti Suzuki India Limited,22433825,8048,2431139840000,0.4
TITAN,GEMS JEWELLERY AND WATCHES,Titan Company Limited,22393518,2567,2278947175400,-0.85
ULTRACEMCO,CEMENT,UltraTech Cement Limited,21912703,7478,2157229510400,0.59
AXISBANK,PRIVATE SECTOR BANK,Axis Bank Limited,20815049,729.15,2236843425046,-0.06
ADANIGREEN,POWER,Adani Green Energy Limited,20805300,1969,3079543566000,1.58
SUNPHARMA,PHARMACEUTICALS,Sun Pharmaceutical Industries Limited,20291176,821.9,1972013495077,-1.98
ADANITRANS,POWER - TRANSMISSION,Adani Transmission Limited,19146044,2020.7,2222386013298,-1.1
ATGL,LPG/CNG/PNG/LNG SUPPLIER,Adani Total Gas Limited,18936530,1805,1985155245000,0.56
ADANIENT,TRADING - MINERALS/ MINING,Adani Enterprises Limited,18800703,1863,2048944167000,0.74
ONGC,OIL EXPLORATION,Oil & Natural Gas Corporation Limited,17914318,166.9,2099648655216,-1.97
TECHM,COMPUTERS - SOFTWARE,Tech Mahindra Limited,17375981,1668.9,1619105415600,-0.07
TATAMOTORS,PASSENGER/UTILITY VEHICLES,Tata Motors Limited,16018344,516.4,1848087243372,-0.85
JSWSTEEL,STEEL,JSW Steel Limited,15855757,683.7,1646505512997,1.34
ADANIPORTS,PORT,Adani Ports and Special Economic Zone Limited,14910913,737,1503820762500,-0.97
POWERGRID,POWER - TRANSMISSION,Power Grid Corporation of India Limited,14257826,214.5,1497296861785,4.81
TATASTEEL,STEEL,Tata Steel Limited,13581373,1209.9,1477666628517,0.02
HINDZINC,ZINC,Hindustan Zinc Limited,13385811,322.6,1363087935189,-0.49
HDFCLIFE,LIFE INSURANCE,HDFC Life Insurance Company Limited,13152030,649.45,1371516329178,-1.01
LTI,COMPUTERS - SOFTWARE,Larsen & Toubro Infotech Limited,12847335,6600.85,1156618776406,-1.44
VEDL,ALUMINIUM,Vedanta Limited,12683083,327.55,1214314136162,0.91
PIDILITIND,CHEMICALS - SPECIALITY,Pidilite Industries Limited,12514932,2675,1359343515000,0.06
DIVISLAB,PHARMACEUTICALS,Divi's Laboratories Limited,12419151,4350.1,1154150700000,-2.93
NTPC,POWER,NTPC Limited,12062653,134.6,1305171302783,-0.15
SBILIFE,LIFE INSURANCE,SBI Life Insurance Company Limited,11963126,1237.95,1237904718750,-0.81
ZOMATO,E-RETAIL/ E-COMMERCE,Zomato Limited,10815290,125.9,956156832882,-2.55
HINDALCO,ALUMINIUM,Hindalco Industries Limited,10686416,503.3,1127706535148,-0.3
GRASIM,CEMENT,Grasim Industries Limited,10678061,1836.5,1206534886001,1.66
IOC,REFINERIES/MARKETING,Indian Oil Corporation Limited,10496787,125.7,1183359631870,0.48
M&M,PASSENGER/UTILITY VEHICLES,Mahindra & Mahindra Limited,10407386,882.3,1054629860000,-1.35
DABUR,PERSONAL CARE,Dabur India Limited,10254452,560.2,990087280000,-1.47
NYKAA,E-RETAIL/ E-COMMERCE,FSN E-Commerce Ventures Limited,9938802,2045,969973141111,0.95
GODREJCP,PERSONAL CARE,Godrej Consumer Products Limited,9902164,902.5,922879352500,-3.74
SHREECEM,CEMENT,SHREE CEMENT LIMITED,9737274,26040,940586021100,-1.37
DLF,RESIDENTIAL/COMMERCIAL/SEZ Project,DLF Limited,9664868,407.4,1008441686291,-0.21
BAJAJ-AUTO,MOTOR CYCLES/SCOOTERS,Bajaj Auto Limited,9402258,3309.5,957660086500,-3.7
COALINDIA,INDUSTRIAL MINERALS,Coal India Limited,9000665,165,1016541964792,0.67
SBICARD,NBFC,SBI Cards and Payment Services Limited,8753276,861.95,812895144087,-0.97
HAVELLS,CONSUMER ELECTRONICS,Havells India Limited,8749454,1309.1,819838390720,0.03
BRITANNIA,CONSUMER FOOD,Britannia Industries Limited,8685711,3605.65,868486762372,0.84
PAYTM,FINANCIAL TECHNOLOGY (FINTECH),One 97 Communications Limited,8651536,992.8,643606121446,-0.46
SIEMENS,POWER EQUIPMENT,Siemens Limited,8409246,2391.7,851732664951,0.48
BPCL,REFINERIES/MARKETING,Bharat Petroleum Corporation Limited,8361385,393.65,851773227796,-0.18
DRREDDY,PHARMACEUTICALS,Dr. Reddy's Laboratories Limited,8166077,4597.1,762801876014,-1.88
ICICIPRULI,LIFE INSURANCE,ICICI Prudential Life Insurance Company Limited,8060295,578.95,832117326195,0.9
MINDTREE,COMPUTERS - SOFTWARE,MindTree Limited,7877694,4253,701016035800,0.63
INDIGO,AIRLINES,InterGlobe Aviation Limited,7771419,2095.1,807013492206,0.75
CIPLA,PHARMACEUTICALS,Cipla Limited,7616906,883.5,713141806000,-1.36
BERGEPAINT,PAINTS,Berger Paints (I) Limited,7495969,741.5,720236375250,-0.93
AMBUJACEM,CEMENT,Ambuja Cements Limited,7495811,375.9,746403943380,0.28
APOLLOHOSP,HOSPITAL,Apollo Hospitals Enterprise Limited,7208500,4635.05,667388775600,2.64
NAUKRI,E-RETAIL/ E-COMMERCE,Info Edge (India) Limited,7181904,5039,650521300450,0.44
SRF,CHEMICALS - SPECIALITY,SRF Limited,7173685,2566.5,760764496500,0.38
EICHERMOT,MOTOR CYCLES/SCOOTERS,Eicher Motors Limited,7086540,2735,749323616000,0.6
TATAPOWER,POWER,Tata Power Company Limited,7060103,248.6,794361294902,0.04
MOTHERSUMI,AUTO ANCILLARIES,Motherson Sumi Systems Limited,7051667,185.35,585323086174,0.46
INDUSINDBK,PRIVATE SECTOR BANK,IndusInd Bank Limited,6879153,878,680069474800,-1.71
ICICIGI,GENERAL INSURANCE,ICICI Lombard General Insurance Company Limited,6877493,1385,681991279200,-2.67
