date,Apple_Fuji,Apple_Jholey,Arum,Asparagus,Bakula,Bamboo_Shoot,Banana,Barela,Bauhania_flower,Bitter_Gourd,Bottle_Gourd,Brd_Leaf_Mustard,Brinjal_Long,Brinjal_Round,Brocauli,Cabbage,Cabbage_Local,Capsicum,Carrot_Local,Cauli_Local,Cauli_Terai,Celery,Chilli_Dry,Chilli_Green,Chilli_Green_Akbare,Chilli_Green_Bullet,Chilli_Green_Machhe,Christophine,Clive_Dry,Clive_Green,Coriander_Green,Cow_pea_Long,Cowpea_Short,Cress_Leaf,Cucumber_Hybrid,Cucumber_Local,Drumstick,Fennel_Leaf,Fenugreek_Leaf,Fish_Fresh,Fish_Fresh_Bachuwa,Fish_Fresh_Chhadi,Fish_Fresh_Mungari,Fish_Fresh_Rahu,French_Bean_Hybrid,French_Bean_Local,French_Bean_Rajma,Garlic_Dry_Chinese,Garlic_Dry_Nepali,Garlic_Green,Ginger,Grapes_Green,Green_Peas,Guava,Gundruk,Jack_Fruit,Knolkhol,Lemon,Lettuce,Lime,Litchi_Indian,Litchi_Local,Mango_Dushari,Mango_Maldah,Mint,Mombin,Mushroom_Button,Mushroom_Kanya,Mustard_Leaf,Neuro,Okara,Onion_Dry__Indian,Onion_Green,Orange_Nepali,Papaya_Indian,Papaya_Nepali,Parseley,Pear_Chinese,Pear_Local,Pineapple,Pointed_Gourd_Local,Pomegranate,Potato_Red,Potato_Red_Indian,Potato_Red_Mude,Potato_White,Pumpkin,Raddish_Red,Raddish_White_Hybrid,Raddish_White_Local,Red_Cabbbage,Smooth_Gourd,Snake_Gourd,Soyabean_Green,Spinach_Leaf,Sponge_Gourd,Squash_Long,Squash_Round,Sugarbeet,Sweet_Orange,Sweet_Potato,Sword_Bean,Tamarind,Tofu,Tomato_Big_Indian,Tomato_Big_Nepali,Tomato_Small_Indian,Tomato_Small_Local,Tomato_Small_Tunnel,Turnip_A,Water_Melon_Dotted,Water_Melon_Green,Yam
2016-08-18,,105.0,37.5,375.0,,125.0,75.0,,,42.5,32.5,82.5,27.5,27.5,,,32.5,115.0,105.0,52.5,,95.0,275.0,85.0,,,,32.5,205.0,205.0,345.0,47.5,,82.5,,47.5,,82.5,82.5,227.5,,,,,,37.5,,305.0,245.0,95.0,67.5,,,,205.0,22.5,82.5,,82.5,425.0,,,,,92.5,27.5,,205.0,82.5,92.5,22.5,24.0,105.0,,,72.5,95.0,,27.5,95.0,37.5,225.0,42.5,,,32.5,37.5,,,22.5,92.5,52.5,37.5,52.5,82.5,32.5,47.5,,92.5,95.0,,,95.0,85.0,,57.5,,55.0,,82.5,,47.5,
2016-08-19,,105.0,37.5,375.0,,125.0,75.0,,,42.5,27.5,82.5,32.5,32.5,,,32.5,125.0,97.5,57.5,,95.0,275.0,105.0,,,,27.5,205.0,205.0,345.0,47.5,,82.5,,52.5,,82.5,82.5,227.5,,,,,,47.5,,305.0,245.0,95.0,67.5,,,,205.0,22.5,82.5,,82.5,425.0,,,,,92.5,27.5,,195.0,82.5,92.5,22.5,24.0,105.0,,,72.5,95.0,,27.5,95.0,37.5,215.0,42.5,,,32.5,37.5,,,22.5,92.5,52.5,37.5,57.5,82.5,32.5,47.5,,92.5,95.0,,,95.0,85.0,,57.5,,77.5,,82.5,,47.5,
2016-08-20,,105.0,37.5,375.0,,125.0,75.0,,,42.5,27.5,82.5,32.5,32.5,,,30.0,112.5,97.5,55.0,,95.0,275.0,105.0,,,,27.5,205.0,205.0,345.0,47.5,,82.5,,52.5,,82.5,82.5,227.5,,,,,,45.0,,295.0,245.0,95.0,67.5,,,,205.0,22.5,82.5,,82.5,425.0,,,,,92.5,27.5,,195.0,82.5,92.5,27.5,24.0,105.0,,,72.5,95.0,,27.5,95.0,37.5,215.0,42.5,,,32.5,37.5,,,22.5,92.5,52.5,37.5,57.5,82.5,32.5,47.5,,92.5,95.0,,,95.0,85.0,,51.5,,57.5,,82.5,,47.5,
2016-08-21,,105.0,37.5,375.0,,125.0,75.0,,,37.5,22.5,82.5,32.5,32.5,,,27.5,115.0,95.0,47.5,,95.0,275.0,97.5,,,,22.5,205.0,205.0,295.0,42.5,,82.5,,42.5,,82.5,82.5,227.5,,,,,,47.5,,305.0,245.0,95.0,67.5,,,,205.0,22.5,82.5,,82.5,425.0,,,,,92.5,27.5,,155.0,82.5,92.5,19.0,24.0,105.0,,,62.5,95.0,,27.5,95.0,32.5,205.0,42.5,,,32.5,37.5,,,22.5,92.5,47.5,32.5,55.0,82.5,32.5,42.5,,92.5,95.0,,,95.0,85.0,,47.5,,55.0,,82.5,,47.5,
2016-08-22,,105.0,27.5,375.0,,125.0,65.0,,,37.5,19.0,82.5,27.5,27.5,,,22.5,105.0,97.5,52.5,,95.0,275.0,82.5,,,,19.0,205.0,205.0,245.0,42.5,,82.5,,42.5,,82.5,82.5,227.5,,,,,,47.5,,305.0,245.0,95.0,67.5,,,,205.0,22.5,82.5,,82.5,425.0,,,,,92.5,27.5,,155.0,82.5,92.5,19.0,24.0,95.0,,,62.5,95.0,,27.5,95.0,32.5,205.0,42.5,,,32.5,37.5,,,19.0,92.5,47.5,32.5,52.5,82.5,32.5,37.5,,92.5,95.0,,,95.0,85.0,,47.5,,45.0,,82.5,,47.5,
2016-08-23,,125.0,22.5,375.0,,125.0,65.0,,,27.5,17.5,82.5,22.5,22.5,,,22.5,105.0,97.5,52.5,,95.0,275.0,92.5,,,,17.5,205.0,205.0,295.0,52.5,,82.5,,42.5,,82.5,82.5,227.5,,,,,,47.5,,305.0,245.0,95.0,67.5,,,,205.0,22.5,82.5,,82.5,425.0,,,,,92.5,27.5,,155.0,82.5,92.5,19.0,24.0,95.0,,,62.5,95.0,,27.5,95.0,32.5,205.0,42.5,,,32.5,37.5,,,22.5,92.5,47.5,22.5,52.5,82.5,32.5,42.5,,92.5,95.0,,,95.0,85.0,,45.0,,45.0,,82.5,,47.5,
2016-08-24,,115.0,27.5,375.0,,135.0,75.0,,,32.5,17.5,82.5,22.5,22.5,,,22.5,105.0,97.5,47.5,,95.0,275.0,82.5,,,,22.5,205.0,205.0,245.0,47.5,,82.5,,37.5,,82.5,82.5,227.5,,,,,,52.5,,285.0,245.0,95.0,67.5,,,,205.0,22.5,82.5,,82.5,425.0,,,,,92.5,27.5,,155.0,82.5,92.5,27.5,24.0,95.0,,,62.5,95.0,,27.5,95.0,32.5,205.0,42.5,,,32.5,37.5,,,27.5,92.5,42.5,27.5,52.5,82.5,32.5,37.5,,92.5,95.0,,,95.0,85.0,,42.5,,47.5,,82.5,,47.5,
2016-08-25,,135.0,31.5,345.0,,90.0,75.0,100.0,,31.5,16.0,85.0,27.0,31.5,,,22.5,110.0,107.5,50.0,,315.0,270.0,77.5,,,,29.5,215.0,200.0,325.0,55.0,,82.5,,55.0,,85.0,82.5,225.0,,,,,,55.0,,285.0,245.0,110.0,62.5,,,,205.0,25.0,82.5,,85.0,425.0,,,,,92.5,28.5,,145.0,75.0,105.0,33.0,23.5,105.0,,,58.5,850.0,,37.5,95.0,36.0,210.0,43.0,,,32.5,35.0,,,38.5,95.0,43.0,30.0,51.5,82.5,32.5,34.0,,95.0,125.0,,,95.0,80.0,,40.0,,52.5,,95.0,,45.0,
2016-08-26,,125.0,27.5,375.0,,125.0,75.0,,,27.5,17.5,82.5,27.5,,,,22.5,95.0,97.5,52.5,,95.0,275.0,77.5,,,,17.5,205.0,205.0,205.0,52.5,,82.5,,42.5,,82.5,82.5,227.5,,,,,,52.5,,285.0,245.0,95.0,67.5,,,,205.0,22.5,82.5,,82.5,425.0,,,,,92.5,27.5,,155.0,82.5,92.5,37.5,24.0,82.5,,,72.5,95.0,,27.5,95.0,42.5,205.0,39.0,,,32.5,37.5,,,32.5,92.5,42.5,27.5,62.5,82.5,37.5,37.5,,92.5,95.0,,,95.0,85.0,,37.5,,45.0,,82.5,,47.5,
2016-08-27,,125.0,27.5,375.0,,125.0,75.0,,,27.5,17.5,82.5,32.5,27.5,,,22.5,110.0,97.5,71.5,,95.0,275.0,67.5,,,,22.5,205.0,205.0,205.0,54.0,,82.5,,44.0,,82.5,82.5,227.5,,,,,,52.5,,285.0,245.0,205.0,67.5,,,,205.0,22.5,82.5,,82.5,425.0,,,,,92.5,27.5,,155.0,82.5,92.5,44.0,24.0,82.5,,,72.5,95.0,,27.5,95.0,47.5,205.0,37.5,,,32.5,37.5,,,37.5,92.5,32.5,27.5,62.5,82.5,30.5,37.5,,92.5,95.0,,,95.0,85.0,,37.5,,44.0,,82.5,,47.5,
