,p2,symbol,c2
0,"1,450.00",ACLBSL,-0.68
1,422.00,ADBL,-0.64
2,"1,001.00",ADBLD83,0.00
3,534.00,AHPC,-2.02
4,784.00,AIL,-2.00
5,320.10,AKJCL,-2.71
6,579.90,AKPL,-0.19
7,"1,600.00",ALBSL,-0.81
8,"1,019.00",ALICL,-2.39
9,534.00,API,-2.20
10,545.00,BARUN,-2.33
11,"5,200.00",BBC,0.04
12,517.00,BFC,-1.86
13,616.40,BNHC,9.99
14,"14,892.00",BNT,0.63
15,292.10,BOKL,-1.98
16,440.00,BPCL,-2.22
17,"1,360.00",CBBL,0.07
18,260.00,CBL,-1.85
19,256.00,CCBL,-2.29
20,499.00,CFCL,-1.38
21,"1,459.00",CGH,-0.07
22,520.00,CHCL,-2.26
23,"1,090.00",CHDC,7.18
24,510.00,CHL,8.97
25,"3,398.00",CIT,-1.19
26,"1,130.00",CLBSL,-3.42
27,10.00,CMF1,-0.99
28,10.42,CMF2,-2.43
29,610.00,CORBL,-2.48
30,295.00,CZBIL,-0.81
31,"1,293.00",DDBL,-0.92
32,318.00,DHPL,-2.15
33,583.00,EBL,-2.00
34,560.00,EDBL,-1.93
35,729.50,EIC,-1.15
36,470.00,EICPO,2.84
37,899.00,FMDBL,0.17
38,"2,387.00",FOWAD,10.00
39,607.00,GBBL,-1.70
40,364.00,GBIME,-0.27
41,"1,085.00",GBLBS,1.13
42,699.90,GFCL,-0.86
43,340.70,GHL,-1.50
44,662.30,GIC,-1.88
45,"1,777.00",GILB,-0.39
46,12.20,GIMES1,0.49
47,"1,370.00",GLBSL,-2.70
48,490.70,GLH,-0.18
49,696.00,GLICL,-0.94
50,"1,372.10",GMFBS,-1.92
51,480.00,GMFIL,-2.04
52,381.00,GRDBL,-2.31
53,793.20,GUFL,-2.07
54,"1,110.00",GWFD83,0.91
55,345.00,HDHPC,-1.99
56,"4,750.00",HDL,-1.02
57,762.00,HGI,-1.68
58,357.00,HIDCL,7.37
59,502.00,HPPL,-0.99
60,520.00,HURJA,-0.95
61,718.00,ICFC,-1.91
62,"1,100.00",ICFCD83,0.00
63,"1,164.00",IGI,-2.02
64,"1,418.00",ILBS,-1.66
65,447.00,JBBL,-2.83
66,"4,786.10",JBLB,5.42
67,685.00,JFL,-2.28
68,717.00,JLI,-1.09
69,325.00,JOSHI,-2.11
70,"2,473.00",JSLBB,-1.08
71,261.30,KBL,-1.21
72,149.00,KBLPO,0.00
73,9.25,KEF,-0.54
74,327.00,KKHC,-2.10
75,"1,696.00",KLBSL,0.66
76,"1,334.00",KMCDB,-1.11
77,530.00,KPCL,-1.49
78,455.00,KRBL,-2.15
79,538.00,KSBBL,-2.18
80,530.00,LBBL,-2.21
81,298.90,LBL,-1.03
82,414.00,LEC,3.97
83,10.60,LEMF,0.00
84,791.00,LGIL,-2.22
85,"2,367.90",LICN,0.55
86,"1,564.00",LLBS,-2.25
87,10.45,LUK,0.48
88,448.10,MBJC,-2.80
89,324.00,MBL,-2.41
90,560.00,MDB,-1.75
91,291.00,MEGA,-0.89
92,"1,229.10",MEN,2.00
93,"1,228.00",MERO,-0.08
94,731.00,MFIL,-1.68
95,506.00,MHNL,-3.44
96,580.00,MKJC,0.00
97,"1,504.00",MKLB,-0.13
98,"1,819.00",MLBBL,2.54
99,532.20,MLBL,-2.35
100,"1,572.20",MLBS,1.43
101,"3,931.10",MLBSL,-1.67
102,9.16,MMF1,-0.11
103,"1,411.00",MMFDB,-2.29
104,559.10,MNBBL,-1.65
105,445.30,MPFL,-1.48
106,"1,659.00",MSLB,3.30
107,577.00,NABBC,-2.40
108,"1,127.00",NABIL,-0.70
109,11.20,NBF2,-1.75
110,9.64,NBF3,-1.83
111,373.00,NBL,-0.82
112,277.00,NCCB,-1.07
113,950.00,NCCD86,0.42
114,11.13,NEF,1.18
115,730.00,NFS,0.00
116,711.00,NGPL,-1.93
117,503.20,NHDL,-2.10
118,388.00,NHPC,-2.00
119,10.79,NIBLPF,1.31
120,9.30,NIBSF2,-1.59
121,872.00,NICA,-1.25
122,11.29,NICBF,-0.62
123,12.40,NICGF,0.00
124,890.00,NICL,-0.34
125,"1,231.00",NICLBSL,-1.46
126,9.35,NICSF,1.74
127,379.00,NIFRA,1.04
128,"1,291.00",NIL,-1.38
129,"1,260.00",NLBBL,-0.71
130,951.00,NLG,-1.35
131,"1,684.00",NLIC,-1.69
132,"1,130.10",NLICL,-2.07
133,347.00,NMB,-1.42
134,12.97,NMB50,-1.67
135,11.71,NMBHF1,-1.60
136,"1,106.10",NMBMF,-2.55
137,"2,714.00",NMFBS,-0.51
138,"1,250.00",NRIC,-0.87
139,780.00,NRN,4.42
140,"1,499.00",NSLB,1.08
141,"1,570.00",NTC,3.29
142,"1,265.00",NUBL,0.93
143,489.00,NYADI,-3.17
144,515.00,OHL,-1.34
145,900.00,PBD85,-0.33
146,360.00,PCBL,-1.37
147,614.90,PFL,-0.82
148,"1,006.00",PIC,-0.40
149,758.70,PICL,-1.34
150,638.00,PLI,-1.85
151,799.00,PLIC,-1.96
152,378.00,PMHPL,-3.08
153,528.90,PPCL,-1.14
154,878.00,PRIN,0.34
155,401.00,PROFL,-2.65
156,332.00,PRVU,-1.78
157,9.30,PSF,-1.48
158,712.00,RADHI,-2.44
159,"17,950.20",RBCL,-1.91
160,"16,060.10",RBCLPO,-2.00
161,408.00,RHPL,-1.69
162,515.00,RLFL,-1.72
163,570.00,RLI,-1.55
164,"1,260.00",RMDC,1.04
165,9.20,RMF1,1.77
166,780.00,RSDC,-2.01
167,"1,040.00",RURU,-2.26
168,"1,473.00",SABSL,-1.80
169,423.00,SADBL,-2.98
170,14.00,SAEF,-0.57
171,625.90,SAHAS,0.95
172,367.00,SANIMA,-0.81
173,366.00,SAPDBL,-1.61
174,9.39,SBCF,2.51
175,395.00,SBI,-0.98
176,452.60,SBL,-1.61
177,507.00,SCB,-2.10
178,897.00,SDBD87,0.22
179,"1,385.00",SDLBSL,0.37
180,11.27,SEF,-1.74
181,400.00,SFCL,-2.91
182,12.29,SFMF,-0.24
183,677.00,SGI,-2.59
184,495.00,SHEL,-1.00
185,443.00,SHINE,-1.99
186,"1,503.00",SHIVM,-1.64
187,225.00,SHL,-1.32
188,440.00,SHPC,-2.22
189,"1,365.00",SIC,1.11
190,"2,000.00",SICL,-2.06
191,"1,050.00",SICLPO,-1.41
192,474.00,SIFC,-3.01
193,11.66,SIGS2,-0.17
194,987.00,SIL,-0.50
195,422.50,SINDU,-2.65
196,407.00,SJCL,-1.45
197,"1,376.00",SKBBL,-0.58
198,"1,164.00",SLBBL,-0.51
199,"1,340.00",SLBSL,-0.15
200,9.18,SLCF,-1.29
201,573.00,SLI,-1.22
202,812.00,SLICL,-0.85
203,"1,242.00",SMATA,-0.64
204,"1,979.90",SMB,2.27
205,"1,955.00",SMFBS,-0.51
206,"1,267.00",SMFDB,-1.02
207,679.00,SPC,-2.02
208,485.50,SPDL,-1.52
209,285.00,SRBL,-1.35
210,379.40,SSHL,-0.03
211,"6,660.00",STC,-0.58
212,"1,365.00",SWBBL,-0.15
213,607.00,TPC,-0.34
214,376.10,TRH,-0.77
215,724.00,UIC,-0.82
216,706.00,ULI,-0.84
217,426.00,UMHL,-2.87
218,608.80,UMRH,-2.12
219,390.00,UNHPL,-2.50
220,404.00,UPCL,-2.18
221,740.00,UPPER,1.90
222,"1,640.00",USLB,-1.20
223,"1,400.00",VLBS,1.82
224,"1,619.20",WNLB,10.00
