name,symbol,sector,url
10 % NMB DEBENTURE 2085,NMBD2085,Corporate Debenture,http://www.nepalstock.com/company/display/2850
10% Himalayan Bank Debenture 2083,HBLD83,Corporate Debenture,http://www.nepalstock.com/company/display/2873
10% Laxmi Bank Debenture 2086,LBLD86,Corporate Debenture,http://www.nepalstock.com/company/display/2879
10% Nabil Debenture 2082,NBLD82,Corporate Debenture,http://www.nepalstock.com/company/display/2892
10% Nepal SBI Bank Debenture 2086,SBIBD86,Corporate Debenture,http://www.nepalstock.com/company/display/2890
10% NIC Asia Debenture 2085/86,NICAD 85/86,Corporate Debenture,http://www.nepalstock.com/company/display/2825
10% Prabhu Bank Debenture 2084,PBLD84,Corporate Debenture,http://www.nepalstock.com/company/display/2904
10% Sanima Bank Limited Debenture,SAND2085,Corporate Debenture,http://www.nepalstock.com/company/display/2828
10% Sunrise Debenture 2080,SRD80,Corporate Debenture,http://www.nepalstock.com/company/display/2834
10.25% Citizens Bank Debenture 2086,CIZBD86,Corporate Debenture,http://www.nepalstock.com/company/display/2889
10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,GBD80/81,Corporate Debenture,http://www.nepalstock.com/company/display/2840
10.25% KBL Debenture 2086,KBLD86,Corporate Debenture,http://www.nepalstock.com/company/display/2885
10.25% Machhapuchhre Bank Debenture 2085,MBLD2085,Corporate Debenture,http://www.nepalstock.com/company/display/2866
10.25% NBBL Debenture 2085,NBBD2085,Corporate Debenture,http://www.nepalstock.com/company/display/2854
10.25% NIC Asia Debenture 2083/84,NICD83/84,Corporate Debenture,http://www.nepalstock.com/company/display/2868
10.25% Prabhu Bank Debenture 2086,PBLD86,Corporate Debenture,http://www.nepalstock.com/company/display/2875
10.25% SBL Debenture 2083,SBLD83,Corporate Debenture,http://www.nepalstock.com/company/display/2864
10.25% Sunrise Bank Debenture 2083,SRBLD83,Corporate Debenture,http://www.nepalstock.com/company/display/2878
10.35% Agricultural Bank Debenture 2083,ADBLD83,Corporate Debenture,http://www.nepalstock.com/company/display/2886
10.5 % NEPAL INVESTMENT DEBENTURE 2082,NIBD2082,Corporate Debenture,http://www.nepalstock.com/company/display/2851
10.50% SBL Debenture 2082,SBLD2082,Corporate Debenture,http://www.nepalstock.com/company/display/2872
11% NIC Asia Debenture 082/83,NICAD8283,Corporate Debenture,http://www.nepalstock.com/company/display/2869
12 % Goodwill Finance Limited Debenture 2083,GWFD83,Corporate Debenture,http://www.nepalstock.com/company/display/2883
12% ICFC Finance Limited Debenture 2083,ICFCD83,Corporate Debenture,http://www.nepalstock.com/company/display/2882
4% Agricultural Bond,ADBLB,Corporate Debenture,http://www.nepalstock.com/company/display/4960
8% BOK Debenture 2079,BOKD2079,Corporate Debenture,http://www.nepalstock.com/company/display/2870
8% EBL Debenture 2078,EBLD2078,Corporate Debenture,http://www.nepalstock.com/company/display/2871
8.5% Laxmi Bank Debenture 2088,LBLD88,Corporate Debenture,http://www.nepalstock.com/company/display/5984
8.5% Machhapuchchhre Debenture 2087,MBLD87,Corporate Debenture,http://www.nepalstock.com/company/display/7985
8.5% Nepal Bank Debenture 2087,NBLD87,Corporate Debenture,http://www.nepalstock.com/company/display/4959
8.5% Nepal Investment Bank Debenture 2084,NIBD84,Corporate Debenture,http://www.nepalstock.com/company/display/2931
8.5% RBBL Debenture 2083,RBBD83,Corporate Debenture,http://www.nepalstock.com/company/display/8003
8.5% Sanima Debenture 2087,SBD87,Corporate Debenture,http://www.nepalstock.com/company/display/2922
8.5% SBL Debenture 2084,SBLD84,Corporate Debenture,http://www.nepalstock.com/company/display/2912
8.75 % Prime Debenture 2085,PBD85,Corporate Debenture,http://www.nepalstock.com/company/display/6984
9% Kamana Sewa Bikas Bank Limited Debenture 2087,KSBBLD87,Corporate Debenture,http://www.nepalstock.com/company/display/4948
9% NIC Asia Debenture 2081/82,NICAD8182,Corporate Debenture,http://www.nepalstock.com/company/display/2895
9.5% Manjushree Finance Limited Debenture 2085,MFLD85,Corporate Debenture,http://www.nepalstock.com/company/display/2932
9.5% NCC Debenture 2086,NCCD86,Corporate Debenture,http://www.nepalstock.com/company/display/2936
Aarambha Chautari Laghubitta Bittiya Sanstha Limited,ACLBSL,Microfinance,http://www.nepalstock.com/company/display/2790
ADHIKHOLA LAGHUBITTA BITTIYA SANSTHA LIMITED,AKBSL,Microfinance,http://www.nepalstock.com/company/display/2845
Agriculture Development Bank Limited,ADBL,Commercial Banks,http://www.nepalstock.com/company/display/397
Ajod Insurance Limited,AIL,Non Life Insurance,http://www.nepalstock.com/company/display/2893
Ankhu Khola Jalvidhyut Company Ltd,AKJCL,Hydro Power,http://www.nepalstock.com/company/display/2788
Api Power Company Ltd.,API,Hydro Power,http://www.nepalstock.com/company/display/697
Arambha Microfinance Bittiya Sanstha Ltd.,AMFI,Microfinance,http://www.nepalstock.com/company/display/2777
Arun Kabeli Power Ltd.,AKPL,Hydro Power,http://www.nepalstock.com/company/display/2757
Arun Valley Hydropower Development Co. Ltd.,AHPC,Hydro Power,http://www.nepalstock.com/company/display/360
Arun Vanaspati Udhyog Limited,AVU,Manufacturing And Processing,http://www.nepalstock.com/company/display/211
Asha Laghubitta Bittiya Sanstha Ltd,ALBSL,Microfinance,http://www.nepalstock.com/company/display/2807
Asian Life Insurance Co. Limited,ALICL,Life Insurance,http://www.nepalstock.com/company/display/385
Bank of Kathmandu Ltd.,BOKL,Commercial Banks,http://www.nepalstock.com/company/display/138
Barun Hydropower Co. Ltd.,BARUN,Hydro Power,http://www.nepalstock.com/company/display/686
Best Finance Company Ltd.,BFC,Finance,http://www.nepalstock.com/company/display/227
Bhargav Bikash Bank Ltd.,BHBL,Development Banks,http://www.nepalstock.com/company/display/487
Birat Shoe Limited,BSL,Manufacturing And Processing,http://www.nepalstock.com/company/display/217
Bishal Bazar Company Limited,BBC,Tradings,http://www.nepalstock.com/company/display/156
