company,listed_shares,paidup,total_paidup,price,market_cap,date
NMBD2085,0,1000,0,1025,0,2022-01-05
HBLD83,0,1000,0,1083.40,0,2022-01-05
LBLD86,0,1000,0,1005,0,2022-01-05
NBLD82,0,1000,0,1025,0,2022-01-05
SBIBD86,0,1000,0,1025,0,2022-01-05
NICAD 85/86,2404688,1000,2404688000,,0,2022-01-05
PBLD84,0,1000,0,1021,0,2022-01-05
SAND2085,2000000,1000,2000000000,1005,2010000000,2022-01-05
SRD80,1000000,1000,1000000000,1000,1000000000,2022-01-05
CIZBD86,0,1000,0,,0,2022-01-05
GBD80/81,103105160,1000,103105160000,1020,105167263200,2022-01-05
KBLD86,0,1000,0,1039.90,0,2022-01-05
MBLD2085,0,1000,0,1040,0,2022-01-05
NBBD2085,0,1000,0,1078,0,2022-01-05
NICD83/84,0,1000,0,1020,0,2022-01-05
PBLD86,0,1000,0,1000,0,2022-01-05
SBLD83,0,1000,0,1020,0,2022-01-05
SRBLD83,0,1000,0,1010,0,2022-01-05
ADBLD83,0,1000,0,1050,0,2022-01-05
NIBD2082,0,1000,0,1025,0,2022-01-05
SBLD2082,0,1000,0,1068,0,2022-01-05
NICAD8283,0,1000,0,1050,0,2022-01-05
GWFD83,0,1000,0,1150,0,2022-01-05
ICFCD83,200000,1000,0,1160,0,2022-01-05
ADBLB,0,1000,0,,0,2022-01-05
BOKD2079,0,1000,0,,0,2022-01-05
EBLD2078,0,1000,0,,0,2022-01-05
LBLD88,0,1000,0,923.50,0,2022-01-05
MBLD87,0,1000,0,,0,2022-01-05
NBLD87,0,1000,0,,0,2022-01-05
NIBD84,0,1000,0,930.90,0,2022-01-05
RBBD83,0,1000,0,,0,2022-01-05
SBD87,0,1000,0,975,0,2022-01-05
SBLD84,0,1000,0,960.60,0,2022-01-05
PBD85,0,1000,0,960,0,2022-01-05
KSBBLD87,0,1000000000,0,,0,2022-01-05
NICAD8182,0,1000,0,979.40,0,2022-01-05
MFLD85,0,1000,0,995,0,2022-01-05
NCCD86,0,3000000000,0,990,0,2022-01-05
ACLBSL,2867631,100,286763100,1370,3928654470,2022-01-05
AKBSL,1190000,100,119000000,465,553350000,2022-01-05
ADBL,131879152,100,13187915200,419,55257364688,2022-01-05
AIL,10000000,100,1000000000,686.10,6861000000,2022-01-05
AKJCL,8000000,100,800000000,286,2288000000,2022-01-05
API,27589156,100,2758915600,477,13160027412,2022-01-05
AMFI,644280,100,64428000,529,340824120,2022-01-05
AKPL,18552105,100,1855210500,514,9535781970,2022-01-05
AHPC,17295950,100,1729595000,450,7783177500,2022-01-05
AVU,550343,100,55034300,,0,2022-01-05
ALBSL,3339140,100,333914000,1460,4875144400,2022-01-05
ALICL,20107608,100,2010760800,1169.90,23523890599.20,2022-01-05
BOKL,106239936,100,10623993600,282,29959661952,2022-01-05
