symbol,sector
RELIANCE,Energy
TCS,Technology
HDFCBANK,Financial Services
INFY,Technology
HINDUNILVR,Consumer Defensive
ICICIBANK,Financial Services
HDFC,Financial Services
BAJFINANCE,Financial Services
SBIN,Financial Services
WIPRO,Technology
BHARTIARTL,Communication Services
HCLTECH,Technology
KOTAKBANK,Financial Services
ASIANPAINT,Basic Materials
DMART,Consumer Defensive
ITC,Consumer Defensive
LT,Industrials
BAJAJFINSV,Financial Services
MARUTI,Consumer Cyclical
TITAN,Consumer Cyclical
ULTRACEMCO,Basic Materials
AXISBANK,Financial Services
ADANIGREEN,Utilities
SUNPHARMA,Healthcare
ADANITRANS,Utilities
ATGL,Utilities
ADANIENT,Energy
ONGC,Energy
TECHM,Technology
TATAMOTORS,Consumer Cyclical
JSWSTEEL,Basic Materials
POWERGRID,Utilities
TATASTEEL,Basic Materials
HINDZINC,Basic Materials
HDFCLIFE,Financial Services
LTI,Technology
VEDL,Basic Materials
PIDILITIND,Basic Materials
DIVISLAB,Healthcare
NTPC,Utilities
SBILIFE,Financial Services
ZOMATO,Consumer Cyclical
HINDALCO,Basic Materials
GRASIM,Basic Materials
IOC,Energy
M&M,Consumer Cyclical
DABUR,Consumer Defensive
NYKAA,Consumer Cyclical
GODREJCP,Consumer Defensive
SHREECEM,Basic Materials
DLF,Real Estate
BAJAJ-AUTO,Consumer Cyclical
COALINDIA,Energy
SBICARD,Financial Services
HAVELLS,Industrials
BRITANNIA,Consumer Defensive
PAYTM,Technology
SIEMENS,Industrials
BPCL,Energy
DRREDDY,Healthcare
ICICIPRULI,Financial Services
MINDTREE,Technology
INDIGO,Industrials
CIPLA,Healthcare
BERGEPAINT,Basic Materials
AMBUJACEM,Basic Materials
APOLLOHOSP,Healthcare
NAUKRI,Communication Services
SRF,Basic Materials
EICHERMOT,Consumer Cyclical
TATAPOWER,Utilities
MOTHERSUMI,Consumer Cyclical
INDUSINDBK,Financial Services
ICICIGI,Financial Services
TATACONSUM,Consumer Defensive
INDUSTOWER,Communication Services
IRCTC,Industrials
MARICO,Consumer Defensive
MCDOWELL-N,Consumer Defensive
MPHASIS,Technology
GLAND,Healthcare
PEL,Healthcare
BAJAJHLDNG,Financial Services
MUTHOOTFIN,Financial Services
LODHA,Real Estate
LTTS,Technology
GAIL,Utilities
UPL,Basic Materials
TORNTPHARM,Healthcare
HDFCAMC,Financial Services
GODREJPROP,Real Estate
BEL,Industrials
BOSCHLTD,Consumer Cyclical
PGHH,Consumer Defensive
IDBI,Financial Services
CADILAHC,Healthcare
JSWENERGY,Utilities
HEROMOTOCO,Consumer Cyclical
JUBLFOOD,Consumer Cyclical
ABB,Industrials
PIIND,Basic Materials
ASTRAL,Industrials
STARHEALTH,Financial Services
PAGEIND,Consumer Cyclical
BALKRISIND,Consumer Cyclical
SAIL,Basic Materials
IDEA,Communication Services
BIOCON,Healthcare
GUJGASLTD,Utilities
SONACOMS,Consumer Cyclical
ALKEM,Healthcare
LUPIN,Healthcare
AUROPHARMA,Healthcare
MAXHEALTH,Healthcare
CHOLAFIN,Financial Services
POLICYBZR,Communication Services
BANKBARODA,Financial Services
UBL,Consumer Defensive
TATACOMM,Communication Services
ACC,Basic Materials
HINDPETRO,Energy
PNB,Financial Services
BANDHANBNK,Financial Services
HAL,Industrials
TTML,Communication Services
VOLTAS,Industrials
COLPAL,Consumer Defensive
NMDC,Basic Materials
JINDALSTEL,Basic Materials
IOB,Financial Services
VBL,Consumer Defensive
ADANIPOWER,Utilities
TRENT,Consumer Cyclical
PERSISTENT,Technology
CONCOR,Industrials
HONAUT,Industrials
POLYCAB,Industrials
TATAELXSI,Technology
AARTIIND,Basic Materials
CANBK,Financial Services
ASHOKLEY,Industrials
COFORGE,Technology
MINDAIND,Consumer Cyclical
DALBHARAT,Basic Materials
YESBANK,Financial Services
OFSS,Technology
DEEPAKNTR,Basic Materials
TIINDIA,Consumer Cyclical
MFSL,Financial Services
IGL,Utilities
SRTRANSFIN,Financial Services
DIXON,Technology
RELAXO,Consumer Cyclical
AUBANK,Financial Services
BHARATFORG,Consumer Cyclical
PETRONET,Energy
KANSAINER,Basic Materials
LALPATHLAB,Healthcare
PFC,Financial Services
OBEROIRLTY,Real Estate
MRF,Consumer Cyclical
NHPC,Utilities
ZEEL,Communication Services
IDFCFIRSTB,Financial Services
ABCAPITAL,Financial Services
IRFC,Financial Services
TVSMOTOR,Consumer Cyclical
GLAXO,Healthcare
UNIONBANK,Financial Services
LAURUSLABS,Healthcare
3MINDIA,Industrials
SUPREMEIND,Industrials
GMRINFRA,Industrials
IPCALAB,Healthcare
CROMPTON,Consumer Cyclical
SCHAEFFLER,Consumer Cyclical
HATSUN,Consumer Defensive
TRIDENT,Consumer Cyclical
TORNTPOWER,Utilities
FLUOROCHEM,Basic Materials
CLEAN,Basic Materials
RECLTD,Financial Services
CGPOWER,Industrials
JKCEMENT,Basic Materials
CUMMINSIND,Industrials
ESCORTS,Industrials
TANLA,Technology
ISEC,Financial Services
ABFRL,Consumer Cyclical
SUNDARMFIN,Financial Services
RUCHI,Consumer Defensive
APLAPOLLO,Basic Materials
SYNGENE,Healthcare
GICRE,Financial Services
BATAINDIA,Consumer Cyclical
INDHOTEL,Consumer Cyclical
ENDURANCE,Consumer Cyclical
RAMCOCEM,Basic Materials
PFIZER,Healthcare
NIACL,Financial Services
EMAMILTD,Consumer Defensive
KPRMILL,Consumer Cyclical
TATACHEM,Basic Materials
IEX,Financial Services
FORTIS,Healthcare
WHIRLPOOL,Consumer Cyclical
COROMANDEL,Basic Materials
SOLARINDS,Basic Materials
NAM-INDIA,Financial Services
RAJESHEXPO,Consumer Cyclical
OIL,Energy
THERMAX,Industrials
GRINDWELL,Industrials
LINDEINDIA,Basic Materials
GODREJIND,Industrials
BANKINDIA,Financial Services
CRISIL,Financial Services
NAVINFLUOR,Basic Materials
AAVAS,Financial Services
KAJARIACER,Industrials
BHEL,Industrials
VINATIORGA,Basic Materials
LICHSGFIN,Financial Services
DEVYANI,Consumer Cyclical
INDIAMART,Communication Services
SUNTV,Communication Services
AJANTPHARM,Healthcare
SUMICHEM,Basic Materials
L&TFH,Financial Services
SUNDRMFAST,Consumer Cyclical
HAPPSTMNDS,Technology
PRESTIGE,Real Estate
BCG,Communication Services
CARBORUNIV,Industrials
NATIONALUM,Basic Materials
SKFINDIA,Industrials
CENTRALBK,Financial Services
M&MFIN,Financial Services
SANOFI,Healthcare
ALKYLAMINE,Basic Materials
NUVOCO,Basic Materials
AIAENG,Industrials
METROPOLIS,Healthcare
FEDERALBNK,Financial Services
INDIANB,Financial Services
GILLETTE,Consumer Defensive
PHOENIXLTD,Real Estate
APTUS,Financial Services
GRINFRA,Industrials
KPITTECH,Technology
POONAWALLA,Financial Services
GSPL,Utilities
RADICO,Consumer Defensive
NATCOPHARM,Healthcare
CHAMBLFERT,Basic Materials
WABCOINDIA,Consumer Cyclical
APLLTD,Healthcare
SFL,Consumer Cyclical
KIOCL,Basic Materials
CDSL,Financial Services
UCOBANK,Financial Services
ABSLAMC,Financial Services
BSOFT,Technology
AFFLE,Communication Services
BLUEDART,Industrials
TIMKEN,Industrials
DCMSHRIRAM,Basic Materials
GLENMARK,Healthcare
BAJAJELEC,Consumer Cyclical
WELSPUNIND,Consumer Cyclical
EXIDEIND,Consumer Cyclical
MANAPPURAM,Financial Services
APOLLOTYRE,Consumer Cyclical
JBCHEPHARM,Healthcare
TTKPRESTIG,Consumer Cyclical
MOTILALOFS,Financial Services
VTL,Consumer Cyclical
UTIAMC,Financial Services
CENTURYPLY,Consumer Cyclical
BASF,Basic Materials
NH,Healthcare
CAMS,Technology
MAHABANK,Financial Services
FINPIPE,Industrials
ALOKINDS,Consumer Cyclical
FSL,Technology
QUESS,Industrials
IIFLWAM,Financial Services
SUVENPHAR,Healthcare
METROBRAND,Consumer Cyclical
MEDPLUS,Healthcare
KEC,Industrials
CHOLAHLDNG,Financial Services
TATAMTRDVR,Consumer Cyclical
CASTROLIND,Energy
HINDCOPPER,Basic Materials
SJVN,Utilities
ZYDUSWELL,Consumer Defensive
ZENSARTECH,Technology
ASAHIINDIA,Consumer Cyclical
SHRIRAMCIT,Financial Services
CESC,Utilities
STLTECH,Technology
KIMS,Healthcare
LXCHEM,Basic Materials
FINEORG,Basic Materials
REDINGTON,Technology
BRIGADE,Real Estate
CYIENT,Industrials
ROUTE,Communication Services
AMBER,Consumer Cyclical
GALAXYSURF,Basic Materials
LATENTVIEW,Industrials
LUXIND,Consumer Cyclical
BALAMINES,Basic Materials
ITI,Technology
BIRLACORPN,Basic Materials
AMARAJABAT,Industrials
HFCL,Technology
POWERINDIA,Technology
IIFL,Financial Services
KEI,Industrials
ERIS,Healthcare
CENTURYTEX,Basic Materials
IBULHSGFIN,Financial Services
INDIGOPNTS,Basic Materials
SAREGAMA,Communication Services
IDFC,Financial Services
JSL,Basic Materials
INTELLECT,Technology
CUB,Financial Services
GODREJAGRO,Consumer Defensive
GRAPHITE,Industrials
ANURAS,Basic Materials
ANGELONE,Financial Services
BLUESTARCO,Industrials
VAIBHAVGBL,Consumer Cyclical
ALLCARGO,Industrials
VGUARD,Industrials
ELGIEQUIP,Industrials
NETWORK18,Communication Services
JUBLPHARMA,Healthcare
AKZOINDIA,Basic Materials
CREDITACC,Financial Services
SONATSOFTW,Technology
POLYMED,Healthcare
CGCL,Financial Services
LAXMIMACH,Industrials
JUBLINGREA,Healthcare
ECLERX,Technology
RATNAMANI,Basic Materials
SUZLON,Industrials
MASTEK,Technology
MAPMYINDIA,Technology
MAHINDCIE,Consumer Cyclical
PGHL,Healthcare
SHYAMMETL,Basic Materials
CHEMPLASTS,Basic Materials
DHANI,Financial Services
ASTERDM,Healthcare
BSE,Financial Services
NLCINDIA,Utilities
FACT,Basic Materials
MGL,Utilities
TCIEXP,Industrials
SOBHA,Real Estate
KNRCON,Industrials
PNBHOUSING,Financial Services
GRANULES,Healthcare
NBCC,Industrials
JSLHISAR,Basic Materials
BORORENEW,Consumer Cyclical
FINCABLES,Industrials
RAIN,Basic Materials
EIDPARRY,Consumer Defensive
IRB,Industrials
ORIENTELEC,Consumer Cyclical
PVR,Communication Services
HUDCO,Financial Services
EIHOTEL,Consumer Cyclical
AEGISCHEM,Energy
SAPPHIRE,Consumer Cyclical
ASTRAZEN,Healthcare
BBTC,Consumer Defensive
PRINCEPIPE,Basic Materials
GLS,Healthcare
BALRAMCHIN,Consumer Defensive
AVANTIFEED,Consumer Defensive
TV18BRDCST,Communication Services
SUNCLAYLTD,Consumer Cyclical
RBLBANK,Financial Services
VIPIND,Consumer Cyclical
MTARTECH,Industrials
SPARC,Healthcare
MRPL,Energy
NAZARA,Communication Services
VMART,Consumer Cyclical
CANFINHOME,Financial Services
