,Close,symbol,change_percent
0,"1,445.00",ACLBSL,-0.34
1,423.00,ADBL,0.24
2,"1,005.00",ADBLD83,0.40
3,563.00,AHPC,5.43
4,768.00,AIL,-2.04
5,330.00,AKJCL,3.09
6,600.00,AKPL,3.47
7,"1,620.00",ALBSL,1.25
8,"1,025.00",ALICL,0.59
9,551.00,API,3.18
10,565.00,BARUN,3.67
11,"5,180.00",BBC,-0.38
12,520.60,BFC,0.70
13,678.00,BNHC,9.99
14,"14,696.00",BNT,-1.32
15,294.50,BOKL,0.82
16,454.00,BPCL,3.18
17,"1,360.00",CBBL,0.00
18,261.20,CBL,0.46
19,258.20,CCBL,0.86
20,507.00,CFCL,1.60
21,"1,455.00",CGH,-0.27
22,534.00,CHCL,2.69
23,"1,090.00",CHDC,0.00
24,520.00,CHL,1.96
25,"3,416.00",CIT,0.53
26,"1,106.00",CLBSL,-2.12
27,9.94,CMF1,-0.60
28,10.42,CMF2,0.00
29,610.00,CORBL,0.00
30,299.00,CZBIL,1.36
31,"1,300.00",DDBL,0.54
32,325.00,DHPL,2.20
33,585.00,EBL,0.34
34,579.00,EDBL,3.39
35,734.50,EIC,0.69
36,468.00,EICPO,-0.43
37,899.00,FMDBL,0.00
38,"2,560.00",FOWAD,7.25
39,615.00,GBBL,1.32
40,366.00,GBIME,0.55
41,"1,100.00",GBLBS,1.38
42,720.50,GFCL,2.94
43,356.00,GHL,4.49
44,673.80,GIC,1.74
45,"1,741.50",GILB,-2.00
46,12.15,GIMES1,-0.41
47,"1,400.00",GLBSL,2.19
48,501.00,GLH,2.10
49,700.00,GLICL,0.57
50,"1,390.00",GMFBS,1.30
51,500.00,GMFIL,4.17
52,389.00,GRDBL,2.10
53,802.00,GUFL,1.11
54,361.00,HDHPC,4.64
55,"4,765.00",HDL,0.32
56,782.00,HGI,2.62
57,358.50,HIDCL,0.42
58,520.00,HPPL,3.59
59,540.00,HURJA,3.85
60,734.90,ICFC,2.35
61,"1,101.00",ICFCD83,0.09
62,"1,170.00",IGI,0.52
63,"1,423.00",ILBS,0.35
64,454.00,JBBL,1.57
65,"4,866.00",JBLB,1.67
66,692.10,JFL,1.04
67,726.00,JLI,1.26
68,335.00,JOSHI,3.08
69,"2,510.00",JSLBB,1.50
70,263.00,KBL,0.65
71,9.25,KEF,0.00
72,334.00,KKHC,2.14
73,"1,700.00",KLBSL,0.24
74,"1,365.00",KMCDB,2.32
75,539.00,KPCL,1.70
76,457.00,KRBL,0.44
77,549.00,KSBBL,2.04
78,539.10,LBBL,1.72
79,300.00,LBL,0.37
80,424.10,LEC,2.44
81,10.72,LEMF,1.13
82,800.00,LGIL,1.14
83,"2,356.00",LICN,-0.50
84,"1,600.00",LLBS,2.30
85,10.37,LUK,-0.77
86,455.00,MBJC,1.54
87,330.00,MBL,1.85
88,562.10,MDB,0.38
89,295.00,MEGA,1.37
90,"1,251.00",MEN,1.78
91,"1,200.00",MERO,-2.28
